date, value
8/6/2014,96.92
8/7/2014,97.34
8/8/2014,97.65
8/11/2014,98.08
8/12/2014,97.37
8/13/2014,97.59
8/14/2014,95.58
8/15/2014,96.944
8/18/2014,95.346
8/19/2014,93.508
8/20/2014,93.974
8/21/2014,93.96
8/22/2014,93.65
8/25/2014,93.35
8/26/2014,93.86
8/27/2014,93.88
8/28/2014,94.55
8/29/2014,95.96
9/2/2014,92.88
9/3/2014,95.54
9/4/2014,94.45
9/5/2014,93.29
9/8/2014,92.66
9/9/2014,92.75
9/10/2014,91.67
9/11/2014,92.83
9/12/2014,92.27
9/15/2014,92.92
9/16/2014,94.88
9/17/2014,94.176
9/18/2014,92.634
9/19/2014,91.954
9/22/2014,91
9/23/2014,91.56
9/24/2014,92.8
9/25/2014,92.53
9/26/2014,93.54
9/29/2014,94.57
9/30/2014,91.16
10/1/2014,90.73
10/2/2014,91.01
10/3/2014,89.74
10/6/2014,90.34
10/7/2014,88.85
10/8/2014,87.31
10/9/2014,85.77
10/10/2014,85.82
10/13/2014,85.74
10/14/2014,81.84
10/15/2014,81.78
10/16/2014,82.55
10/17/2014,82.474
10/20/2014,82.23
10/21/2014,82.554
10/22/2014,80.52
10/23/2014,82.09
10/24/2014,81.01
10/27/2014,81
10/28/2014,81.42
10/29/2014,82.2
10/30/2014,81.12
10/31/2014,80.54
11/3/2014,78.78
11/4/2014,77.19
11/5/2014,78.68
11/6/2014,77.91
11/7/2014,78.65
11/10/2014,77.4
11/11/2014,77.94
11/12/2014,77.18
11/13/2014,74.21
11/14/2014,75.82
11/17/2014,75.644
11/18/2014,74.622
11/19/2014,74.532
11/20/2014,75.796
11/21/2014,76.51
11/24/2014,75.78
11/25/2014,74.09
11/26/2014,73.69
11/28/2014,66.15
12/1/2014,69
12/2/2014,66.88
12/3/2014,67.38
12/4/2014,66.81
12/5/2014,65.84
12/8/2014,63.05
12/9/2014,63.82
12/10/2014,60.94
12/11/2014,59.95
12/12/2014,57.81
12/15/2014,55.91
12/16/2014,55.996
12/17/2014,56.598
12/18/2014,54.26
12/19/2014,57.008
12/22/2014,55.26
12/23/2014,57.12
12/24/2014,55.84
12/26/2014,54.73
12/29/2014,53.61
12/30/2014,54.12
12/31/2014,53.27
1/2/2015,52.69
1/5/2015,50.04
1/6/2015,47.93
1/7/2015,48.65
1/8/2015,48.79
1/9/2015,48.36
1/12/2015,46.07
1/13/2015,45.89
1/14/2015,48.576
1/15/2015,46.442
1/16/2015,48.954
1/20/2015,46.454
1/21/2015,47.78
1/22/2015,46.31
1/23/2015,45.59
1/26/2015,45.15
1/27/2015,46.23
1/28/2015,44.45
1/29/2015,44.53
1/30/2015,48.24
2/2/2015,49.57
2/3/2015,53.05
2/4/2015,48.45
2/5/2015,50.48
2/6/2015,51.69
2/9/2015,52.86
2/10/2015,50.02
2/11/2015,48.84
2/12/2015,51.21
2/13/2015,52.78
2/17/2015,53.682
2/18/2015,52.412
2/19/2015,51.562
2/20/2015,50.716
2/23/2015,49.45
2/24/2015,49.28
2/25/2015,50.99
2/26/2015,48.17
2/27/2015,49.76
3/2/2015,49.59
3/3/2015,50.52
3/4/2015,51.53
3/5/2015,50.76
3/6/2015,49.61
3/9/2015,50
3/10/2015,48.29
3/11/2015,48.17
3/12/2015,47.05
3/13/2015,44.84
3/16/2015,43.88
3/17/2015,43.806
3/18/2015,45.456
3/19/2015,44.902
3/20/2015,46.4
3/23/2015,47.45
3/24/2015,47.51
3/25/2015,49.21
3/26/2015,51.43
3/27/2015,48.87
3/30/2015,48.68
3/31/2015,47.6
4/1/2015,50.09
4/2/2015,49.14
4/6/2015,52.14
4/7/2015,53.98
4/8/2015,50.42
4/9/2015,50.79
4/10/2015,51.64
4/13/2015,51.91
4/14/2015,53.29
4/15/2015,56.39
4/16/2015,56.99
4/17/2015,56.372
4/20/2015,57.28
4/21/2015,56.34
4/22/2015,56.16
4/23/2015,57.74
4/24/2015,57.15
4/27/2015,56.99
4/28/2015,57.06
4/29/2015,58.58
4/30/2015,59.63
5/1/2015,59.15
5/4/2015,58.93
5/5/2015,60.4
5/6/2015,60.93
5/7/2015,58.94
5/8/2015,59.39
5/11/2015,59.25
5/12/2015,60.75
5/13/2015,60.5
5/14/2015,60.072
5/15/2015,60.03
5/18/2015,59.916
5/19/2015,57.844
5/20/2015,58.98
5/21/2015,60.72
5/22/2015,59.72
5/26/2015,58.03
5/27/2015,57.51
5/28/2015,57.68
5/29/2015,60.3
6/1/2015,60.2
6/2/2015,61.26
6/3/2015,59.64
6/4/2015,58
6/5/2015,59.13
6/8/2015,58.14
6/9/2015,60.14
6/10/2015,61.43
6/11/2015,60.77
6/12/2015,59.96
6/15/2015,59.52
6/16/2015,59.97
6/17/2015,60.002
6/18/2015,60.598
6/19/2015,59.826
6/22/2015,60.24
6/23/2015,61.01
